Material,Matl-Comp,Package Size,4.4 MSU转换,FormulaName,Type,Note,SUF,Brand,Seg
21255518,21156208,600,18851.75664,SHM BC177N,PO shampoo,BC177N G1XJ151000 o0.3 0.65FL RJ,0.2334,EC,pack
80821955,90206651,400,2427.452278,SHM BC162H VR,Non AD shampoo,BC162H VR5005 KTN 0.6SW VS,1.8126,VS,FGOI
21179547,20178683,450,25142.85714,SHM BC188H,PO shampoo,BC188H S+2N40S20 0.5PO 1.3GP PNK,0.175,HS,Pack
80820470,21161158,200,2427.452278,SHM BC156CF,Climbazole shampoo,BC156c F1RT300120 0.45C 0.7Mont Blanc RJ,1.8126,EC,On going
21228480,21196959,600,18851.75664,SHM GH140OT,PO shampoo,GH140o T+0.5H D2N20S08 0.3PO KTN 0.7JA,0.2334,EC,Pack
21251394,21170860,600,18851.75664,SHM BC198O,Non AD shampoo,BC198 O1RP151020L 0.7Mont Blanc RJ,0.2334,EC,Pack
21238421,21196959,520,22403.25866,SHM BC198O,Non AD shampoo,GH140o T+0.5H D2N20S08 0.3PO KTN 0.7JA,0.1964,EC,Pack
21223504,21170860,520,22403.25866,SHM BC198O,Non AD shampoo,BC198 O1RP151020L 0.7Mont Blanc RJ,0.1964,EC,Pack
21285491,90485140,470,24070.02188,SHM BC189H,Non AD shampoo,BC189H A17NKP301015G10S05 0.8Redline PNT,0.1828,PTN,Pack
80833673,21161321,750,2513.854768,COND BC840S75,Non AD conditioner,BC840S75-24 1TAS KTN 0.7Mont Blanc RJ,1.7503,EC,HKTW
80832024,21196959,780,2489.673513,SHM GH140OT,PO shampoo,GH140o T+0.5H D2N20S08 0.3PO KTN 0.7JA,1.7673,EC,HKTW
80832032,21196959,750,2589.301477,SHM GH140OT,PO shampoo,GH140o T+0.5H D2N20S08 0.3PO KTN 0.7JA,1.6993,EC,HKTW
80832030,21166098,750,2589.301477,SHM BC177N,PO shampoo,BC177N G1XJ151000 o0.3 0.6SunnyCitrus RJ,1.6993,EC,HKTW
80832031,21170860,750,2589.301477,SHM BC198O,Non AD shampoo,BC198 O1RP151020L 0.7Mont Blanc RJ,1.6993,EC,HKTW
80832021,21156208,780,2489.673513,SHM BC177N,PO shampoo,BC177N G1XJ151000 o0.3 0.65FL RJ,1.7673,EC,HKTW
80831803,21156208,750,2589.301477,SHM BC177N,PO shampoo,BC177N G1XJ151000 o0.3 0.65FL RJ,1.6993,EC,HKTW
80832017,21166098,780,2489.673513,SHM BC177N,PO shampoo,BC177N G1XJ151000 o0.3 0.6SunnyCitrus RJ,1.7673,EC,HKTW
80832034,21170860,780,2489.673513,SHM BC198O,Non AD shampoo,BC198 O1RP151020L 0.7Mont Blanc RJ,1.7673,EC,HKTW
80832020,21166117,600,3142.408227,COND BC840S75,Non AD conditioner,BC840S75-24 1TAS KTN 0.7Mont Blanc RJ,1.4002,EC,HKTW
80832023,21161321,600,3142.408227,COND BC840S75,Non AD conditioner,BC840S75-24 1TAS KTN 0.7Mont Blanc RJ,1.4002,EC,HKTW
80814093,90169500,1000,1942.004678,SHM BC156OF,AD shampoo,BC156o F1RT300108 0.5PO 1.1TS HS,2.2657,HS,On going
80813607,21127223,930,2088.178065,SHM BC189Hd,Non AD shampoo,BC189Hd Q20R40G10S08 0.8GS PNT,2.1071,PTN,GBU
80813624,20111636,930,2088.178065,SHM BC189T,Non AD shampoo,BC189T R17NP3515 G15S08 0.8GS PN,2.1071,PTN,GBU
21280816,20154050,670,17391.30435,SHM BC188S,PO shampoo,BC188 S07X4000 0.5PO 1.1DC HS,0.253,HS,Pack
21258383,20154050,80,141479.0997,SHM BC188S,PO shampoo,BC188 S07X4000 0.5PO 1.1DC HS,0.0311,HS,Pack
80820479,21196959,500,1942.004678,SHM GH140OT,PO shampoo,GH140o T+0.5H D2N20S08 0.3PO KTN 0.7JA,2.2657,EC,On going
80820480,21196959,930,2088.178065,SHM GH140OT,PO shampoo,GH140o T+0.5H D2N20S08 0.3PO KTN 0.7JA,2.1071,EC,GBU
80842556,90393423,480,2022.895499,SHM BC177N,PO shampoo,BC177N G1XJ151000 o0.5 1.1PR HS,2.1751,HS,On going
80820460,21170860,200,2427.452278,SHM BC198O,Non AD shampoo,BC198 O1RP151020L 0.7Mont Blanc RJ,1.8126,EC,On going
80829598,90330061,200,2427.452278,SHM BC156CF,Climbazole shampoo,BC156c F1RT300104 0.45C 0.9SE-Menthol RJ,1.8126,EC,On going
80820457,21161321,200,4713.444028,COND BC840S75,Non AD conditioner,BC840S75-24 1TAS KTN 0.7Mont Blanc RJ,0.9335,EC,On going
80820486,21170860,930,2088.178065,SHM BC198O,Non AD shampoo,BC198 O1RP151020L 0.7Mont Blanc RJ,2.1071,EC,GBU
80849561,21008380,1180,1645.721125,SHM BC156OF,AD shampoo,BC156o F+1RT300106 0.5PO 1.7JPM HS,2.6736,HS,GBU
80749745,90433045,170,5711.318795,SHM BC162H QRC,Climbazole shampoo,BC162Hs QRc2400 0.45C 0.285SR AL RJ,0.7704,FC,On going
80829597,90330061,400,2427.452278,SHM BC156CF,Climbazole shampoo,BC156c F1RT300104 0.45C 0.9SE-Menthol RJ,1.8126,EC,On going
80829594,90330061,750,1294.650739,SHM BC156CF,Climbazole shampoo,BC156c F1RT300104 0.45C 0.9SE-Menthol RJ,3.3986,EC,On going
80831801,21156208,400,2427.452278,SHM BC177N,PO shampoo,BC177N G1XJ151000 o0.3 0.65FL RJ,1.8126,EC,HKTW
80831804,21166098,400,2427.452278,SHM BC177N,PO shampoo,BC177N G1XJ151000 o0.3 0.6SunnyCitrus RJ,1.8126,EC,HKTW
80831800,21196959,400,2427.452278,SHM GH140OT,PO shampoo,GH140o T+0.5H D2N20S08 0.3PO KTN 0.7JA,1.8126,EC,HKTW
80831802,21170860,400,2427.452278,SHM BC198O,Non AD shampoo,BC198 O1RP151020L 0.7Mont Blanc RJ,1.8126,EC,HKTW
80841211,90169500,670,1449.227628,SHM BC156OF,AD shampoo,BC156o F1RT300108 0.5PO 1.1TS HS,3.0361,HS,On going
80841221,21008380,750,1294.650739,SHM BC156OF,AD shampoo,BC156o F+1RT300106 0.5PO 1.7JPM HS,3.3986,HS,On going
21310636,21008380,650,17922.60692,SHM BC156OF,AD shampoo,BC156o F+1RT300106 0.5PO 1.7JPM HS,0.2455,HS,Pack
80832028,21196959,750,2589.301477,SHM GH140OT,PO shampoo,GH140o T+0.5H D2N20S08 0.3PO KTN 0.7JA,1.6993,EC,HKTW
21301327,90393423,300,38834.95146,SHM BC177N,PO shampoo,BC177N G1XJ151000 o0.5 1.1PR HS,0.1133,HS,Pack
80832138,21161321,750,2589.301477,COND BC840S75,Non AD conditioner,BC840S75-24 1TAS KTN 0.7Mont Blanc RJ,1.6993,EC,HKTW
80832137,21166117,750,2589.301477,COND BC840S75,Non AD conditioner,BC840S75-24 1TAS KTN 0.7Mont Blanc RJ,1.6993,EC,HKTW
80832016,21161158,750,2589.301477,SHM BC156CF,Climbazole shampoo,BC156c F1RT300120 0.45C 0.7Mont Blanc RJ,1.6993,EC,HKTW
80832019,21170860,750,2589.301477,SHM BC198O,Non AD shampoo,BC198 O1RP151020L 0.7Mont Blanc RJ,1.6993,EC,HKTW
80840333,90167254,400,2427.452278,SHM BC156OF,AD shampoo,BC156o F1RT300106 0.5PO 1.1PR HS,1.8126,HS,HKTW
80840332,90169500,680,2855.844746,SHM BC156OF,AD shampoo,BC156o F1RT300108 0.5PO 1.1TS HS,1.5407,HS,HKTW
80840324,21008380,680,2855.844746,SHM BC156OF,AD shampoo,BC156o F+1RT300106 0.5PO 1.7JPM HS,1.5407,HS,HKTW
80840325,90142374,680,2855.844746,COND BC27S109,PO conditioner,BC27 S109-20 0.25PO 0.66PDMS 0.55Vi NaBz,1.5407,HS,HKTW
21309197,90276496,680,17133.95639,SHM BC156OF,AD shampoo,BC156o F1RT300116 0.5PO 1.20JJF HS,0.2568,HS,pack
21297314,90276491,680,17133.95639,SHM BC156OF,AD shampoo,BC156o F1RT300116 0.5PO 1.30DaphneVN HS,0.2568,HS,pack
80840330,90167254,680,2855.844746,SHM BC156OF,AD shampoo,BC156o F1RT300106 0.5PO 1.1PR HS,1.5407,HS,HKTW
80840326,90299026,680,2855.844746,SHM BC177N,PO shampoo,BC177N G1XJ152000 o0.5 1.0CMM HS,1.5407,HS,HKTW
80840320,90291266,680,2855.844746,SHM BC177N,PO shampoo,BC177N G1XJ152000 o0.5 0.9PR HS,1.5407,HS,HKTW
80840338,90288239,680,2855.844746,SHM BC156OF,AD shampoo,BC156o F1RT300110 0.5PO 0.7FGB HS,1.5407,HS,HKTW
80840321,90298879,680,2855.844746,SHM BC156OF,AD shampoo,BC156o F1RT300104 0.5PO 1.1CMM HS,1.5407,HS,HKTW
80840322,20178683,680,2855.844746,SHM BC188H,PO shampoo,BC188H S+2N40S20 0.5PO 1.3GP PNK,1.5407,HS,HKTW
21304477,21141983,650,17405.06329,COND BC840M68,Non AD conditioner,BC840 M68-25 4.0TFS NaBz 0.8GS PNT,0.2528,PTN,pack
21304372,21127223,650,17405.06329,SHM BC189Hd,Non AD shampoo,BC189Hd Q20R40G10S08 0.8GS PNT,0.2528,PTN,pack
80814075,20178683,1180,1645.721125,SHM BC188H,PO shampoo,BC188H S+2N40S20 0.5PO 1.3GP PNK,2.6736,HS,GBU
80842554,90406979,480,2022.895499,SHM BC177N,PO shampoo,BC177N G1XJ152000 o0.5 0.8FGB HS,2.1751,HS,On going
80842560,20154050,480,2022.895499,SHM BC188S,PO shampoo,BC188 S07X4000 0.5PO 1.1DC HS,2.1751,HS,On going
21309829,20178683,700,16647.74877,SHM BC188H,PO shampoo,BC188H S+2N40S20 0.5PO 1.3GP PNK,0.2643,HS,pack
21288324,20178683,680,17133.95639,SHM BC188H,PO shampoo,BC188H S+2N40S20 0.5PO 1.3GP PNK,0.2568,HS,pack
21302948,21008380,680,17133.95639,SHM BC156OF,AD shampoo,BC156o F+1RT300106 0.5PO 1.7JPM HS,0.2568,HS,pack
21302953,90167254,680,17133.95639,SHM BC156OF,AD shampoo,BC156o F1RT300106 0.5PO 1.1PR HS,0.2568,HS,pack
21310525,90167254,400,29119.78822,SHM BC156OF,AD shampoo,BC156o F1RT300106 0.5PO 1.1PR HS,0.1511,HS,pack
21310524,21008380,400,29119.78822,SHM BC156OF,AD shampoo,BC156o F+1RT300106 0.5PO 1.7JPM HS,0.1511,HS,pack
21288325,20178683,400,29119.78822,SHM BC188H,PO shampoo,BC188H S+2N40S20 0.5PO 1.3GP PNK,0.1511,HS,pack
80841209,20178683,670,1449.227628,SHM BC188H,PO shampoo,BC188H S+2N40S20 0.5PO 1.3GP PNK,3.0361,HS,On going
80841208,21008380,670,1449.227628,SHM BC156OF,AD shampoo,BC156o F+1RT300106 0.5PO 1.7JPM HS,3.0361,HS,On going
21190263,21127223,1000,11652.54237,SHM BC189Hd,Non AD shampoo,BC189Hd Q20R40G10S08 0.8GS PNT,0.3776,PTN,pack
21195209,20111636,1000,11652.54237,SHM BC189T,Non AD shampoo,BC189T R17NP3515 G15S08 0.8GS PN,0.3776,PTN,pack
80832490,20159980,530,1832.035641,SHM BC189H,Non AD shampoo,BC189H A17NKP301015G23 KTN 1.0BTO PNT,2.4017,PTN,On going
80813622,20111636,500,1834.403402,SHM BC189T,Non AD shampoo,BC189T R17NP3515 G15S08 0.8GS PN,2.3986,PTN,On going
80813616,21127223,500,1942.004678,SHM BC189Hd,Non AD shampoo,BC189Hd Q20R40G10S08 0.8GS PNT,2.2657,PTN,On going
80849337,21263997,470,2065.921683,SHM BC189T,Non AD shampoo,BC189T A20NP1510G05 KTN 1.1Siri PNT,2.1298,PTN,On going
80849336,21263997,300,3236.722083,SHM BC189T,Non AD shampoo,BC189T A20NP1510G05 KTN 1.1Siri PNT,1.3594,PTN,On going
80826725,20136918,300,3236.722083,SHM BC188S,PO shampoo,BC188 S07N40S10 0.5PO 1.0QS 0.357M,1.3594,PTN,On going
80854030,21287753,180,5237.47173,COND BC840M68,Non AD conditioner,BC840M68-25 NaBz 2.1TAS 2FS 0.5Sil 0.9RL,0.8401,PTN,On going
80849302,21268746,180,5237.47173,COND BC840M68,Non AD conditioner,BC840M68-25 1.6TFS 1.7MSW 0.9Siri PTN,0.8401,PTN,On going
80849303,21268746,230,4098.742431,COND BC840M68,Non AD conditioner,BC840M68-25 1.6TFS 1.7MSW 0.9Siri PTN,1.0735,PTN,On going
80849301,21268746,40,11783.61007,COND BC840M68,Non AD conditioner,BC840M68-25 1.6TFS 1.7MSW 0.9Siri PTN,0.3734,PTN,On going
80854035,21268746,70,6734.006734,COND BC840M68,Non AD conditioner,BC840M68-25 1.6TFS 1.7MSW 0.9Siri PTN,0.6534,PTN,On going
21304776,20159980,530,21989.0055,SHM BC189H,Non AD shampoo,BC189H A17NKP301015G23 KTN 1.0BTO PNT,0.2001,PTN,pack
80840337,20178683,950,2044.134727,SHM BC188H,PO shampoo,BC188H S+2N40S20 0.5PO 1.3GP PNK,2.1525,HS,HKTW
80840327,90167254,950,2044.134727,SHM BC156OF,AD shampoo,BC156o F1RT300106 0.5PO 1.1PR HS,2.1525,HS,HKTW
80840329,90291266,950,2044.134727,SHM BC177N,PO shampoo,BC177N G1XJ152000 o0.5 0.9PR HS,2.1525,HS,HKTW
21309833,21008380,700,16647.74877,SHM BC156OF,AD shampoo,BC156o F+1RT300106 0.5PO 1.7JPM HS,0.2643,HS,pack
80841219,90167254,750,1294.650739,SHM BC156OF,AD shampoo,BC156o F1RT300106 0.5PO 1.1PR HS,3.3986,HS,On going
80841220,90169500,750,1294.650739,SHM BC156OF,AD shampoo,BC156o F1RT300108 0.5PO 1.1TS HS,3.3986,HS,On going
80840342,90169500,950,2044.134727,SHM BC156OF,AD shampoo,BC156o F1RT300108 0.5PO 1.1TS HS,2.1525,HS,HKTW
80840328,21008380,950,2044.134727,SHM BC156OF,AD shampoo,BC156o F+1RT300106 0.5PO 1.7JPM HS,2.1525,HS,HKTW
80841222,20178683,750,1294.650739,SHM BC188H,PO shampoo,BC188H S+2N40S20 0.5PO 1.3GP PNK,3.3986,HS,On going
21298079,20178683,650,17922.60692,SHM BC188H,PO shampoo,BC188H S+2N40S20 0.5PO 1.3GP PNK,0.2455,HS,pack
80841215,90288138,750,1294.650739,SHM BC156OF,AD shampoo,BC156o F1RT300121 0.5PO 0.75VA HS,3.3986,HS,On going
80853420,90288239,680,2855.844746,SHM BC156OF,AD shampoo,BC156o F1RT300110 0.5PO 0.7FGB HS,1.5407,HS,HKTW
80841212,90167254,670,1449.227628,SHM BC156OF,AD shampoo,BC156o F1RT300106 0.5PO 1.1PR HS,3.0361,HS,On going
21293322,90288239,650,17922.60692,SHM BC156OF,AD shampoo,BC156o F1RT300110 0.5PO 0.7FGB HS,0.2455,HS,Pack
21316070,21263997,300,38834.95146,SHM BC189T,Non AD shampoo,BC189T A20NP1510G05 KTN 1.1Siri PNT,0.1133,PTN,Pack
21325106,21268746,180,62857.14286,COND BC840M68,Non AD conditioner,BC840M68-25 1.6TFS 1.7MSW 0.9Siri PTN,0.07,PTN,Pack
80842559,20154050,300,3236.722083,SHM BC188S,PO shampoo,BC188 S07X4000 0.5PO 1.1DC HS,1.3594,HS,On going
21310635,90169500,650,17922.60692,SHM BC156OF,AD shampoo,BC156o F1RT300108 0.5PO 1.1TS HS,0.2455,HS,Pack
80856853,21073081,80,6068.965517,SHM GH140OT,PO shampoo,GH140oA B3X4000 0.5PO 1.7A 1DC,0.725,HS,On going
21330643,21268746,180,62857.14286,COND BC840M68,Non AD conditioner,BC840M68-25 1.6TFS 1.7MSW 0.9Siri PTN,0.07,PTN,Pack
80853504,21297308,280,3467.843632,SHM BC177N,PO shampoo,BC177N G1XJ152000 0.5PO NaSal 1.0ST HR,1.2688,HR,On going
